	CD_MemberList	frac_d1_seeds	frac_d2_seeds
C926	PTPRK SP3 TPBG RNF170 RNF103	0.2	0.0
C930	DNAJC27 TMEM54 TMEM268 CLCN2 RAB11FIP2	0.4	0.2
C931	PLEKHG5 ABR NCOA3 ARHGEF26 ARHGAP11B	0.2	0.2
C933	AVL9 ARFGEF2 PRKAR1A KLC1 MSI2	0.8	0.2
C935	SNX8 SNX32 ERAS PIK3R1	0.25	0.25
C937	PACSIN2 FCHO2 BAIAP2 CLBA1	0.25	0.25
C878	GPC5 NRCAM SYT6 SYT2 CHST14 SYT1 KRT75 DCHS1 WNK1 NPFFR1 SDC1 EMX2 BEST4 SYT12 POMC GYPC NCAN GTF2H2C ZSCAN31 SLC6A7 MTMR9 DNAH17 RASGRF1 CHST1 MYH2 CLSTN2 DNAH3 DOC2A LIX1L GLB1L3 CHST3 DMD TMEM45B GNAI2 PDLIM3 NES RAPSN SYT17 SULT1A2 CDX2 CASQ2 INPP4B CALY AATK CSPG5 CSPG4 CACNA1C TPST2 MMP24 UNC13B TUB HHLA2 GRIA3 SDC3 LGR5 CHST9 BNC2 SPDEF CCDC40 ST3GAL2 GPC2 RALYL PLCD4 NDST1 LINGO1 GAL3ST4 HPX HS3ST3B1 CPNE6 SLIT3 TULP1 SULT1A4 CACNA1D DNHD1 MMP11 BEST3 HNF4G SYTL2 ADORA2B SYT14 PRPH SULT1A1 TSPAN8 MOGAT3 GANC CLCN2 AC093155.3 RIT2 SYT7 SYT15 EPS8L1 ARPP21 BEST2 NDST3 RIMS4 NRXN1 CPXM1 A1CF ANGEL1 SYT4 SPOCK1 ZNF502 RIPPLY2 PURG SYT9 TMEM52 HS6ST3 PRPH2 CHST10 NOVA1 CDHR4 MYF5 RPH3A FCHO2 VSX1 LMO1 LMTK3 CHST8 C5orf30 PGBD5 DSPP PTCH2 THY1 JAM3 KIAA2013 GBA PAPSS1 HS3ST3A1 RASAL1 CHST7 SCN4A ERAS AKNA GPC1 FSCN2 GPC6 RD3 PACSIN2 TEPSIN BCL2L15 NLGN1 FEZ2 SYTL3 SOX3 CHST13 LGALS4 SYTL4 RIMS2 ELAVL2 MYOZ2 SCUBE2 RASA4 CDH26 CRB2 FAM20C PPP1R14D NDST2 LCTL PRLHR TFAP4 EFEMP2 UNC13D ELAVL4 LMTK2 SYTL1 CNTNAP5 PTPRD TMEM19 ESYT3 SYT16 TMEM54 CACNB1 GP2 CCDC85A COLQ HS3ST1 CADPS HS3ST4 SPTBN5 RCAN2 PCSK2 TOX3 POU1F1 HOXB9 HS3ST2 NDST4 VIPR1 SEZ6L MMP16 SYTL5 TRPM3 STMN4 WNK4 SLITRK6 MC4R NKAIN2 NYX BDNF CASZ1 AKAP6 LSAMP NUMBL ASIC2 VGLL2 PDILT RAB27B MYH4 TRPC4 DNAH14 CHGB C12orf42 HS3ST6 C2CD5 GNAO1	0.3317757009345794	0.16822429906542055
C880	PEX6 NSD2 TMEM256 RPL39L METTL27 SSR4 AC011455.3 SWI5 NPEPPS HIST1H3A DNAJC28 TAF1 RMDN2 RAD51 THAP4 BAHCC1 GARS PTRHD1 GATAD2A RSRC1 AS3MT VSTM2L ANKRD63 YEATS2 DNAJA3 HMGCR KPNB1 NDE1 KNSTRN KIF22 CPNE4 C17orf58 ZIK1 IPO4 RFT1 THAP7 HIST1H4E CTNNBL1 GXYLT1 METTL2A KAT14 XRCC5 RPL28 KATNAL1 EBF3 HSP90AB1 ERI2 PPP2R2A METTL2B CCDC34 MTIF3 CBX5 EIF3A SPCS1 MRPL2 DNAJC17 POLR3F HYOU1 SNU13 CENPF CANX NDUFS3 AC135178.2 EHMT2 TIMM17A PITPNM2 DYNLL2 SMARCC1 EIF2AK4 ABCF3 TBCD SKOR1 TUBA4B AVL9 EXOSC10 TMEM178A ZFAND2B TAF4 PAGR1 POLR2J4 CKAP5 CSDE1 FUS DTD1 AARS2 GFI1B AC004223.3 HIST1H3C HNRNPCL2 ARFGEF2 KNOP1 TUBA4A HARS THAP2 HDLBP OIP5 SLC25A12 THAP11 MRPL14 SF3A3 PSMC3 VPS35L PCGF1 RPL4 TIMM10B UHRF1 ATXN7L3 RABEP2 NECAB1 NCOA5 TSR2 MEA1 PHOSPHO2 SLC45A3 AGTRAP TNRC18 CCDC22 H2AFY UNK ANKRD13B HCFC1 SEPHS2 GTF3C1 KBTBD4 TAF10 TBCC STAU1 SUMO1 KLHDC3 TAF11 GCLC IPO7 GGNBP1 THOC6 DPH1 TRUB2 KPNA3 SNRPC SERTAD3 SNAPC3 TRIT1 ZSWIM6 HNRNPA3 CMC4 POLR3A TMEM214 GTF3C2 DNAJC27 CACUL1 RCOR2 THAP3 AK5 PYDC1 NAPRT RRP8 GON7 CDAN1	0.3821656050955414	0.17197452229299362
C882	ZFC3H1 HELZ BTN3A2 ZNF106 WNK1 NIN DVL1P1 ZBTB20 TNRC6A ANKZF1 SLC16A6 KDM3B AXIN1 C2CD5 ERC1 USP34 STK4 PHF2 CELA1 NBR1 NKTR CCP110 KDM5D KDM6B NFATC3 SUGP2 HPS4 KDM8 SP3 NDE1 SPG7 MACF1 KIAA2013 UTRN KDM5A RNF170 TBC1D15 RNF103 N4BP2 PTBP2 SLC35E2B KDM3A RSRC2 AC005324.3 NUMBL ADD3 GDAP2 JMJD8 JMJD7 KDM6A DOCK2 UBR2 TRIM66	0.3018867924528302	0.20754716981132076
C885	ZNF502 CDH26 DCHS1 EFEMP2 LDB2 GATA3 BNC2 SPDEF GYPC CDHR4 SOX6 NR2F1 LMO1 C5orf30 ZFPM2 CLSTN2 TOX3 LIX1L THY1 JAM3 GAS2 PBLD AKNA SOX5 BCL11B SOX8 AC105001.2 TRP-AGG2-6 GPRC5B SOX3 SCUBE2	0.3548387096774194	0.1935483870967742
C887	GPR139 GPR61 OR6B3 OR2A4 GPR152 GPR141 OR6B2 OR2A1 OR8S1 GPR148 GPR151 OR5A2 OR2A7 OR6Y1 OR2W3 MRGPRD OR4X1	0.17647058823529413	0.058823529411764705
C888	SCFD2 MON1A VPS18 MON1B VPS39 TSNARE1 STX16-NPEPL1 STXBP5 CT55 TGFBRAP1 RBSN VPS11 STX7 VPS33B VPS33A VPS8 VPS4A	0.29411764705882354	0.11764705882352941
C889	MAPK1 MAP2K5 DNAJC27 DAPK2 CAMK2G MAP2K3 DAPK3 MAPK6 MAP2K6 CLHC1 CAMK4 TTBK2 MAP2K1 STK33 AC138811.2 NEK5	0.4375	0.25
