gene	NPS_r	NPS_h	NPS_hr	rat_seed	human_seed	node_color	subgraph
AATK	11.41547464141659	11.075727779420934	126.43468960121297	1	1	3	Conserved
ABAT	-0.960223240876252	-0.0863846416768565	0.0829485405928849	0	0	0	PCNet
ABCA1	-0.2288291506832556	0.4133007689436178	-0.0945752639341045	0	0	0	PCNet
ABCA10	0.7393794614707553	0.2299706789550717	0.1700355967598648	0	0	0	PCNet
ABCA12	0.3180199316997685	-0.8227367128994898	-0.2616466732431878	0	0	0	PCNet
ABCA13	0.9961156606263536	1.6118072385757354	1.6055464322562074	0	0	0	PCNet
ABCA2	0.6646939973250838	1.0305649157398855	0.6850103133461327	0	0	0	PCNet
ABCA3	1.0678530998144395	-0.1022879345689667	-0.1092284880030877	0	0	0	PCNet
ABCA4	1.2556515222869544	-0.4306963379035762	-0.540804512332042	0	0	0	PCNet
ABCA5	8.959658004137376	-0.2111071557016936	-1.891447917313355	1	0	1	Rat-Only
ABCA6	10.365164505533976	0.0233378807360268	0.2419009730394509	1	0	1	Rat-Only
ABCA7	1.0474538297764724	0.6285784533752942	0.6584069083029237	0	0	0	PCNet
ABCA8	10.930750427419314	-0.7299448942385147	-7.978845464690191	1	0	1	Rat-Only
ABCA9	2.136332056611278	-0.0225444125187456	-0.0481623511612648	0	0	0	Rat-Only
ABCB1	0.2101677992896562	0.852297962420592	0.1791255871009939	0	0	0	PCNet
ABCB10	0.5619065119527175	-0.0336939403610129	-0.0189328445021996	0	0	0	PCNet
ABCB11	-0.7157545989939318	0.4452009745882038	-0.3186546450380874	0	0	0	PCNet
ABCB4	0.9279761432822334	-0.0365632669982019	-0.0339298394947899	0	0	0	PCNet
ABCB5	1.413916938260379	-0.05682569279536	-0.0803468095717403	0	0	0	PCNet
ABCB6	0.1957630146515439	0.5661980615222048	0.1108406394134471	0	1	2	PCNet
ABCB7	0.2046029340842662	-0.7662931566024163	-0.1567858282095484	0	0	0	PCNet
ABCB8	1.1006668928548162	11.328991163010013	12.469445502569902	0	1	2	Conserved
ABCB9	0.946705818949347	0.7090163241345676	0.6712298797882715	0	0	0	PCNet
ABCC1	0.6817731259891814	0.4461605297355345	0.3041802590507844	0	0	0	PCNet
ABCC10	1.7629275907084858	0.3779955953544407	0.6663788642166238	0	0	0	PCNet
ABCC11	1.6934800166995143	0.1026751158564509	0.173878256915207	0	0	0	PCNet
ABCC12	1.3892230486784247	0.1004463128090691	0.1395423329091217	0	0	0	PCNet
ABCC2	0.428304022735081	1.722237701427497	0.7376413356274163	0	0	0	PCNet
ABCC3	0.2601118151299467	1.2174390264149637	0.3166702749708313	0	0	0	PCNet
ABCC4	1.0277664697934283	0.6476433742066819	0.6656261443935058	0	0	0	PCNet
ABCC5	1.3566993176123363	0.6419353319179326	0.8709132267643078	0	1	2	PCNet
ABCC6	1.531663837184686	-0.3836138843818738	-0.5875675141496634	0	0	0	Rat-Only
ABCC8	0.9141067755354002	0.5693675506741734	0.5204627358412572	0	1	2	PCNet
ABCC9	0.9086727534429696	-0.0352756274930377	-0.0320540015635271	0	0	0	PCNet
ABCD1	0.4724939185780885	1.1079564522908485	0.5235026857567799	0	0	0	PCNet
ABCD2	1.2706167712923475	0.3041801848157857	0.3864964443217432	0	0	0	PCNet
ABCD3	1.14419927403293	-1.2273262677227037	-1.4043058245298632	0	0	0	Rat-Only
ABCD4	1.409719663510711	-0.1824571827278235	-0.2572134782401797	0	0	0	PCNet
ABCE1	0.6094228164414656	-0.5787204568667932	-0.3526854507560528	0	1	2	PCNet
ABCF1	0.748799059043387	0.4929648613725967	0.3691316243372541	0	0	0	PCNet
ABCF2	1.3559462597122216	1.159004193375318	1.5715474009980428	0	0	0	PCNet
ABCF3	2.358575692198711	1.342286612722842	3.16588457673184	0	0	0	Conserved
ABCG1	1.2885199047612612	-0.0248718937812474	-0.0320479302062451	0	0	0	PCNet
ABCG2	0.4093527548619194	0.7964361085991377	0.3260233151265638	0	1	2	PCNet
ABCG4	0.8486898553908435	0.9566556992621246	0.8119039870655987	0	1	2	PCNet
ABCG5	1.0244352514059334	0.7545211756533603	0.7729580902715506	0	0	0	PCNet
ABCG8	1.2595999053669746	0.8810349373762979	1.1097515237441833	0	0	0	PCNet
ABHD1	-1.5212413460720304	1.0079374374553327	-1.533316104110943	0	0	0	PCNet
ABHD10	0.0339129968565308	0.0303552929864293	0.0010294389556278	0	0	0	PCNet
ABHD11	-0.8989997986153353	0.976159636627409	-0.8775673167444595	0	0	0	PCNet
ABHD12	-0.2909215202791385	1.9988022149445652	-0.5814945791089823	0	1	2	PCNet
ABHD12B	-0.653461534225181	2.3742904259975166	-1.551507464468496	0	0	0	PCNet
ABHD13	-0.9185419620352864	0.6303726341816352	-0.5790237162145511	0	0	0	PCNet
ABHD14A	-0.3185060320566414	2.765083361230137	-0.880695729691252	0	0	0	PCNet
ABHD14A-ACY1	-0.2708043974553441	-0.4390472027946987	0.1188959132072726	0	0	0	PCNet
ABHD14B	-0.8923751570784615	0.8660977646383134	-0.7728841287644194	0	0	0	PCNet
ABHD15	-0.8329180381910992	0.1401690261860161	-0.1167493103060133	0	0	0	PCNet
ABHD16A	-0.1112494782752499	0.3282664215294103	-0.0365194681304301	0	0	0	PCNet
ABHD16B	-0.6500502530184428	0.8868029146410319	-0.5764664590398952	0	1	2	PCNet
ABHD17A	-0.0501735060629084	15.571682797990682	-0.781285921274672	0	1	2	Human-Only
ABHD17B	0.1119534223564302	1.2423205362146534	0.1390820356929059	0	0	0	PCNet
ABHD17C	0.330437489768755	8.354933267232994	2.760783176009933	0	1	2	PCNet
ABHD18	-0.3139000814407384	-0.4816428461675503	0.1511877286373431	0	0	0	PCNet
ABHD2	-0.845993226534377	1.477072342896354	-1.249593197191578	0	0	0	PCNet
ABHD3	-0.2254087665158911	-0.4552166770588699	0.1026098296733026	0	0	0	PCNet
ABHD4	1.3739787456863712	1.1990200371296271	1.6474280466681914	0	0	0	PCNet
ABHD5	1.6104075334973873	0.0582040406782664	0.0937322255882686	0	0	0	PCNet
ABHD6	0.58048459523992	0.9961648475737775	0.5782583483361009	0	0	0	PCNet
ABHD8	0.3033362920525612	1.338808325486172	0.4061091532220738	0	0	0	PCNet
ABI1	0.3715603857919652	-0.3359488273462379	-0.1248252758951264	0	0	0	PCNet
ABI2	-0.0881257216829594	1.4482340443532058	-0.1276266703244573	0	1	2	PCNet
ABI3	0.3997210271367843	0.8834395031073292	0.353129345595272	0	0	0	PCNet
ABI3BP	2.045179734579383	-0.8459919433423723	-1.7302055781412495	0	0	0	Rat-Only
ABITRAM	0.0059639351298409	-0.5666380439470584	-0.0033793925362001	0	0	0	PCNet
ABL1	1.640585348286662	2.515912131876376	4.127568581133043	0	1	2	Conserved
ABL2	0.6576031986199463	0.626297689508303	0.411855363908942	0	0	0	PCNet
ABLIM1	1.8476895745120785	1.157221700386098	2.1381864712025336	0	0	0	PCNet
